station_id,station_name,flow_station_id,area,flow_station_area,huc8,altsite_id,altsite_area,region,lon,lat,lagoslakeid,lake_namelagos
09114500,"GUNNISON RIVER NEAR GUNNISON, CO.",09114500,2618.32,2618.32,14020002,NA,NA,southwest,-106.9498,38.5419,450098,Blue Mesa Reservoir
3.83126E+14,"TOMICHI CK. BLW. COCHETOPA CK. NR. PARLIN, CO",09119000,2526.21,2737.67,14020003,NA,NA,southwest,-106.8001,38.5239,450098,Blue Mesa Reservoir
orBRSS0035,South Fork Bull Run River Near Bull Run,14139800,40.78,40.78,18070204,NA,NA,pacific,-122.109,45.4446,467587,Bull Run Reservoir No. 2
orBRSS0044,Fir Creek Near Brightwood,14138870,15.12,15.12,18070204,NA,NA,pacific,-122.026,45.4801,467780,Bull Run Reservoir Number One
wa13A060,DESCHUTES RIVER AT E ST BRIDGE,12080010,408.51,408.51,18070204,NA,NA,pacific,-122.903,47.0118,470712,Capitol lake
MS1312907,"Merged sites for BLUE RIVER NEAR DILLON, CO",09046600,283.97,283.97,14010002,NA,NA,southwest,-106.0494632,39.56665329,449543,Dillon Reservoir
co5762,BEAR CREEK BELOW EVERGREEN,06710385,339.06,269.09,10190002,NA,NA,midwest,-105.3072,39.6432,360319,Evergreen Lake
09217010,"GREEN RIVER BELOW GREEN RIVER, WY",09217000,24432.1,24422.1,14040106,NA,NA,southwest,-109.4394,41.496,450461,Flaming Gorge Reservoir; Buckboard Reservoir
MS10273232,"Merged sites for WEBER RIVER NEAR PLAIN CITY, UT",10141000,5359.06,5359.06,16020102,NA,NA,southwest,-112.0918,41.2782,455356,Great Salt Lake; Gunnison Bay
09508500,"VERDE R BLW TANGLE CREEK, ABV HORSESHOE DAM, AZ.",09508500,13940.79,13940.79,15060203,NA,NA,southwest,-111.7163,34.0731,454811,Horseshoe Reservoir
waCBP079,LOWER CRAB CR AT MCMANNAN RD,12467000,200715.24,197027.33,18070204,NA,NA,pacific,-119.303,46.8958,460909,Hutchinson Lake
09429490,"Colorado River above Imperial Dam, AZ-CA",09429490,161834.18,161811.51,15030104,NA,NA,southwest,-114.4674,32.8837,454184,Imperial Reservoir
ksSC549,Prairie Dog Creek Near Dellvale,06847900,1554.63,1531.35,10250015,NA,NA,midwest,-100.0772,39.7706,367583,Keith Sebelius Lake
MS13070812,Merged sites for CARSON RV BLW LAHONTAN RESERVOIR N,10312150,4158.56,4158.56,16050203,NA,NA,southwest,-119.0462583,39.4639361,457120,Lahontan Reservoir
idGAR100,PAYETTE RIVER AT HARTSELL BRIDGE,13239000,447.22,386.22,18070204,NA,NA,pacific,-116.145,44.79,464344,Lake Cascade
09426600,"BILL WILLIAMS RIVER AT MINERAL WASH, NR PLANET, AZ",09426620,13203.47,13272.08,15030204,NA,NA,southwest,-114.0104,34.255,454129,Lake Havasu
09427520,"COLORADO RIVER BELOW PARKER DAM, AZ-CA",09427520,152145.22,152145.22,15030104,NA,NA,southwest,-114.1402,34.2956,454129,Lake Havasu
14206500,"TUALATIN RIVER AT FARMINGTON,OREG.",14207500,1455.64,1831.75,18070204,NA,NA,pacific,-122.951,45.4498,468740,Lake Oswego
14206690,"TUALATIN RIVER AT HWY 210 BRIDGE, NR SCHOLLS, OR",14207500,1604.79,1831.75,18070204,NA,NA,pacific,-122.922,45.4177,468740,Lake Oswego
14206740,"TUALATIN RIVER AT ELSNER RD NEAR SHERWOOD, OR",14207500,1617.95,1831.75,18070204,NA,NA,pacific,-122.853,45.388,468740,Lake Oswego
14206960,"TUALATIN RIVER AT BOONES FERRY RD AT TUALATIN, OR",14207500,1790.7,1831.75,18070204,NA,NA,pacific,-122.758,45.3858,468740,Lake Oswego
14207050,"TUALATIN RIVER AT STAFFORD RD NR LAKE OSWEGO, OR",14207500,1814.9,1831.75,18070204,NA,NA,pacific,-122.699,45.3794,468740,Lake Oswego
14207600,"TUALATIN RIVER AT WEISS BRIDGE AT WEST LINN, OR",14207500,1836,1831.75,18070204,NA,NA,pacific,-122.656,45.3394,468740,Lake Oswego
08383500,"PECOS RIVER NEAR PUERTO DE LUNA, NM",08383500,9845.95,9845.95,13060001,NA,NA,southwest,-104.525,34.7301,447960,Lake Summer
10336610,UP TRUCKEE R A SOUTH LAKE TAHOE CA,10336610,139.85,139.85,16050101,NA,NA,southwest,-119.9916,38.9224,456954,Lake Tahoe; Breach Pond
10336645,GENERAL C NR MEEKS BAY CA,10336645,19.89,19.89,16050101,NA,NA,southwest,-120.1185,39.0519,456951,Lake Tahoe; Breach Pond
10336660,BLACKWOOD C NR TAHOE CITY CA,10336660,30.5,30.5,16050101,NA,NA,southwest,-120.1621,39.1074,456952,Lake Tahoe; Breach Pond
10336698,"Third Ck nr Crystal Bay, NV",10336698,19.73,19.73,16050101,NA,NA,southwest,-119.9466,39.2405,456953,Lake Tahoe; Breach Pond
10336790,TROUT C A SOUTH LAKE TAHOE CA,10336780,106.05,95.17,16050101,NA,NA,southwest,-119.9788,38.9321,456954,Lake Tahoe; Breach Pond
MS8941685,Merged sites for WARD C AT HWY 89 NR TAHOE PINES CA,10336676,25.02,25.02,16050101,NA,NA,southwest,-120.1576913,39.1321292,456953,Lake Tahoe; Breach Pond
MS8942879,"Merged sites for INCLINE CK NR CRYSTAL BAY, NV",10336700,13.27,13.27,16050101,NA,NA,southwest,-119.9449106,39.2401855,456954,Lake Tahoe; Breach Pond
idCSP108,Snake River at Montgomery Bridge,13081500,42060.42,41575.86,18070204,NA,NA,pacific,-113.612,42.6337,463477,Lake Walcott
wa08C070,CEDAR RIVER AT LOGAN ST/RENTON,12119000,457.13,457.13,18070204,NA,NA,pacific,-122.209,47.4857,472271,Lake Washington
waA438,CEDAR RIVER - A438,12119000,414.52,457.13,18070204,NA,NA,pacific,-122.078,47.458,472271,Lake Washington
06674500,NORTH PLATTE RIVER AT WYOMING-NEBRASKA STATE LINE,06674500,55203.24,55203.24,10180009,NA,NA,midwest,-104.0533,41.9886,358157,Little Moon Lake
waCBP061,PARKERHORN AT 7NE CO RD,12467000,197027.33,197027.33,18070204,NA,NA,pacific,-119.267,47.1889,461718,Moses Lake
waCBP161,Crab Creek at Highway 17 crossing,12467000,197617.37,197027.33,18070204,NA,NA,pacific,-119.278,47.136,461718,Moses Lake
co5799,GENEVA CR. @ MOUTH,06715000,200.46,224.39,10190002,NA,NA,midwest,-105.664,39.46,360830,NA
sd460677,WQM 77,06355500,3104.85,3104.85,10130301,NA,NA,midwest,-102.3624,45.8021,341691,NA
11273500,MERCED R A RIVER ROAD BRIDGE NR NEWMAN CA,11270900,3287.76,2752.52,18070204,NA,NA,pacific,-120.963,37.351,478782,NA
12334550,Clark Fork at Turah Bridge nr Bonner MT,12334550,9177.39,9177.39,18070204,NA,NA,pacific,-113.814,46.826,459730,NA
ca535STC504,SJR @ Crows Landing,11274550,26506.61,26504.83,18070204,NA,NA,pacific,-121.016,37.4332,479422,NA
ca535XMRSFD,Merced River @ Santa Fe,11270900,3218.67,2752.52,18070204,NA,NA,pacific,-120.674,37.4271,480382,NA
wa23A070,CHEHALIS RIVER AT PORTER,12031000,3261.93,3365.1,18070204,NA,NA,pacific,-123.314,46.9379,470039,NA
wa41A070,CRAB CREEK NEAR BEVERLY,12467000,201476.29,197027.33,18070204,NA,NA,pacific,-119.816,46.8312,462242,NA
waCBP036,LOWER CRAB CK ABV CONF RED ROCK COULEE,12467000,201101.2,197027.33,18070204,NA,NA,pacific,-119.579,46.8482,460615,NA
waCBP072,LOWER CRAB CR AT CRAB CR RD,12467000,201484.81,197027.33,18070204,NA,NA,pacific,-119.923,46.8153,462236,NA
09119000,"TOMICHI CREEK AT GUNNISON, CO.",09119000,2741.94,2737.67,14020003,NA,NA,southwest,-106.9409,38.5217,449981,NA
neSSP2LDGPL530,Lodgepole Creek upstream of Oliver Reservoir,06762500,2922.47,2892.37,10190016,NA,NA,midwest,-103.8554,41.2288,361261,Oliver Reservoir
sd460647,WQM 47,06409000,216.51,205.51,10120110,NA,NA,midwest,-103.6943,44.1149,336493,Pactola Reservoir
idGAR140,North Fork Payette River @ East-West Loop Bridge near McCall,13239000,386.22,386.22,18070204,NA,NA,pacific,-116.114,44.8981,464873,Payette Lake
waCBP071,MOSES LAKE AT OUTLET,12467000,197861,197027.33,18070204,NA,NA,pacific,-119.333,47.0806,460768,Potholes Reservoir
10343500,SAGEHEN C NR TRUCKEE CA,10343500,27.68,27.68,16050102,NA,NA,southwest,-120.238,39.4316,457191,Stampede Reservoir
neSRE3REPUB407,"Republican River at Stratton, NE",06828500,17380.12,17380.12,10250004,NA,NA,midwest,-101.2306,40.1411,367842,Swanson Lake
09107000,"TAYLOR RIVER AT TAYLOR PARK, CO.",09107000,331.34,331.34,14020001,NA,NA,southwest,-106.5667,38.8603,450041,Taylor Park Reservoir
06306300,Tongue River at State Line nr Decker MT,06306300,3761.7,3761.7,10090101,NA,NA,midwest,-106.8362,45.0089,328600,Tongue River Reservoir
09352900,"VALLECITO CREEK NEAR BAYFIELD, CO.",09352900,210.51,187.97,14080101,NA,NA,southwest,-107.5437,37.4775,453515,Vallecito Reservoir
